english,French
"Hello, how are you?","Bonjour, comment allez-vous ?"
"The weather is nice today.","Il fait beau aujourd'hui."
"I would like a coffee please.","Je voudrais un café s'il vous plaît."
"Where is the train station?","Où est la gare ?"
"Thank you very much.","Merci beaucoup."
"Good morning everyone.","Bonjour à tous."
"I don't understand.","Je ne comprends pas."
"Can you help me?","Pouvez-vous m'aider ?"
"The book is on the table.","Le livre est sur la table."
"She left without saying goodbye.","Elle est partie sans dire au revoir."
"We need to talk about this.","Nous devons en parler."
"It's raining cats and dogs.","Il pleut des cordes."
"I'll be there in five minutes.","Je serai là dans cinq minutes."
"What time does the store close?","À quelle heure ferme le magasin ?"
"He has been working here for ten years.","Il travaille ici depuis dix ans."
